Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
barcodes.1.temp1	MissingLibrary.1	21825.0	5389472.0	0.0	21856.0	18081.0	2118198.0	33125.0	0.393905	4945796.0
barcodes.10.temp1	MissingLibrary.1	20736.0	5107838.0	0.0	20768.0	17110.0	2002854.0	31612.0	0.392991	4703428.0
barcodes.11.temp1	MissingLibrary.1	20277.0	5125758.0	0.0	20306.0	16803.0	2011683.0	31696.0	0.393327	4713760.0
barcodes.12.temp1	MissingLibrary.1	21497.0	5328547.0	0.0	21529.0	17785.0	2091354.0	32722.0	0.393356	4899702.0
barcodes.2.temp1	MissingLibrary.1	20387.0	5138101.0	0.0	20423.0	16806.0	2003897.0	31763.0	0.390867	4768341.0
barcodes.3.temp1	MissingLibrary.1	21616.0	5318265.0	0.0	21653.0	17856.0	2070310.0	32765.0	0.390169	4948701.0
barcodes.4.temp1	MissingLibrary.1	19417.0	4832901.0	0.0	19448.0	15875.0	1878027.0	29349.0	0.389452	4508119.0
barcodes.5.temp1	MissingLibrary.1	20898.0	5175484.0	0.0	20933.0	17282.0	2016841.0	31954.0	0.390572	4808625.0
barcodes.6.temp1	MissingLibrary.1	20763.0	5175997.0	0.0	20800.0	17208.0	2034656.0	31737.0	0.393967	4748590.0
barcodes.7.temp1	MissingLibrary.1	20289.0	4978741.0	0.0	20312.0	16702.0	1946700.0	30632.0	0.391881	4603254.0
barcodes.8.temp1	MissingLibrary.1	20421.0	5056945.0	0.0	20461.0	16894.0	1992704.0	31109.0	0.394926	4623086.0
barcodes.9.temp1	MissingLibrary.1	21299.0	5271269.0	0.0	21334.0	17680.0	2090903.0	32508.0	0.397534	4773017.0
